country,age_65up,air_pollution,med_bed,physicians,nurses_midwives,pop_density,smoking,con_500_ind,death_100_ind,rate,confirmed_rate,ind_80,gov_resp
Slovenia,19.6068796541788,16.0239799760869,4.6,2.9953,9.68,102.639859503382,22.5,0.28169014084507044,0.9154929577464789,0.0703551912568306,7.059184317038383e-4,0.5808823529411765,91.93
Somalia,2.87331094294556,32.0345842282344,0.9,0.0229,0.0611,23.9234769024771,NA,0.7166666666666667,1,0.04127725856697819,8.555349312113935e-5,1,59.39
South Africa,5.31800500542302,25.1022049863671,2.8,0.9101,3.5171,47.6301197767684,20.3,0.2676056338028169,0.7746478873239436,0.0186827851479708,2.2047565489438474e-4,0.625,91.4
South Korea,9.33452040978796,32.0074516237453,13.2,3.6745,4.4382,212.190175234615,NA,0.2807017543859649,0.5175438596491229,0.02359774913777455,4.312359316518054e-4,0.8970588235294118,83.46
South Sudan,3.39848287985152,45.5775055664158,NA,NA,NA,NA,NA,1,1,0,1.8495032762629464e-5,0.75,93.38
Spain,19.3785075224995,9.69792786284953,3,4.0691,5.5307,93.5290582615872,29.3,0.34615384615384615,0.3942307692307692,0.11902500653480874,0.004905063494010454,0.6544117647058824,89.41
Sri Lanka,10.4732197537841,11.0996172423996,3.6,0.958,2.1155,345.558922022006,13,0.8256880733944955,1,0.00972972972972973,4.2685740655283804e-5,0.5882352941176471,100
Sudan,3.58116052825144,55.3708344433937,0.8,0.41,0.83,NA,NA,0.7777777777777778,1,0.04950495049504951,4.3491227941329326e-5,0.625,86.38
Suriname,6.90636990225525,24.7800105357684,3.1,1.2265,4.0983,3.69225,25,1,1,0.1,1.736138238271084e-5,0.7058823529411765,83.07
Sweden,20.0955249278002,6.18466509039924,2.6,5.3996,11.5434,25.0010434312931,18.8,0.3904761904761905,0.5333333333333333,0.12346931635294942,0.002808982690683459,1,47.35
Switzerland,18.6232165647717,10.3031001048906,4.7,4.2363,17.2828,215.521378417094,25.7,0.1875,0.3375,0.06145159701933493,0.0035783140752619425,1,79.49
Syria,4.50312442147583,43.7572594654519,1.5,1.22,1.46,92.0671077710614,NA,1,1,0.0625,2.8391811493987174e-6,0.6212121212121212,84.13
Tanzania,2.60129917835952,29.0766405124356,0.7,0.0399,0.4126,63.5790787988259,14.8,0.8833333333333333,1,0.0412573673870334,9.037907148838954e-6,1,53.57
Thailand,11.9008931395893,26.2567265583447,2.1,0.8096,2.9647,135.897206835131,19.9,0.5263157894736842,1,0.01855533465871438,4.346916549745462e-5,0.7205882352941176,83.73
Trinidad and Tobago,10.7349535163324,24.1085684320503,3,2.6697,3.5093,270.927485380117,NA,1,1,0.06896551724137931,8.346176371974691e-5,0.6544117647058824,93.38
Tunisia,8.31567907898877,37.6559937453942,2.3,1.2722,2.6351,74.4413233779609,32.7,0.4305555555555556,1,0.0436046511627907,8.923318602940337e-5,0.5895522388059702,90.61
Turkey,8.4832129399716,44.3115256776956,2.7,1.7605,2.6304,106.960128893104,27.2,0.15384615384615385,0.26153846153846155,0.02768240195096339,0.001758375671910659,0.6893939393939394,80.42
Uganda,1.94098692046317,50.4943213226178,0.5,0.0908,0.6303,213.061734490325,10,1,1,0,3.745043172038459e-6,0.6691729323308271,92.59
Ukraine,16.4346864392016,20.3097758188675,8.8,3.0075,7.0576,77.0296673514129,28.9,0.3698630136986301,0.589041095890411,0.027067133614293346,3.7754482512819315e-4,0.5671641791044776,92.06
United Arab Emirates,1.08500098484481,40.9175098248731,1.2,2.3944,5.5857,135.609110109828,28.9,0.5607476635514018,0.8598130841121495,0.009865300701954089,0.002189190090000383,0.6397058823529411,91.54
United Kingdom,18.3958656741466,10.4726903888942,2.8,2.8058,8.2878,274.82739222089,22.3,0.3047619047619048,0.4,0.14371694250127964,0.0388026881112743,1,79.63
United States,15.8076540556035,7.40944166188307,2.9,2.5948,8.55,35.766088580168,21.8,0.40350877192982454,0.4824561403508772,0.060586525073812895,0.004339847700509362,1,71.58
Uruguay,14.8145195308593,9.27488332030728,2.8,5.0499,1.9299,19.7080276539824,16.8,0.5238095238095238,1,0.026243093922651933,2.0989772124712877e-4,1,76.98
Uzbekistan,4.4191378781364,28.455901201856,4,2.3685,12.0739,77.4692054536906,12.6,0.3770491803278688,1,0.004158790170132325,8.025998774100755e-5,0.6691176470588235,97.35
Venezuela,7.26698662012597,17.0085535697031,0.8,1.924,1.1223,32.7307919052208,NA,1,1,0.035164835164835165,1.576019836374503e-5,0.562962962962963,84.26
Vietnam,7.2749782978793,29.6267283386303,2.6,0.8199,1.4321,308.125245912213,22.8,1,1,0,3.2656343947499902e-6,0.8161764705882353,97.35
Yemen,2.87626975604452,50.4560068932715,0.7,0.3104,0.73,53.9778529083092,18.4,1,1,0.1411764705882353,2.98259354895894e-6,1,54.23
Zambia,2.09967802593266,27.438034758712,2,0.0913,0.8925,23.3414789007116,13.8,0.9827586206896551,1,0.010703363914373088,3.769056644310897e-5,1,68
Zimbabwe,2.93952365300113,22.2516710932407,1.7,0.0763,1.1546,37.3245909267158,15.8,1,1,0.1,2.770271496302588e-6,0.6742424242424242,91.4
