country,value_1564,value_64up,value_0014
Rwanda,57.0862309044811,2.9381960775388,39.9755730179801
Samoa,56.8788909340281,4.80041197375197,38.32069709221993
San Marino,,,
Sao Tome and Principe,54.5543719316868,2.9256781090661,42.5199499592471
Saudi Arabia,71.6430638491404,3.31408802294981,25.042848127909792
Senegal,53.8577459283503,3.08682370101833,43.05543037063137
Serbia,65.964526556121,18.3457926916963,15.689680752182696
Seychelles,68.7700832166104,7.59454560435034,23.635371179039254
Sierra Leone,55.9738044352072,2.96655621131612,41.05963935347668
Singapore,76.2583371703582,11.4633801933791,12.278282636262702
Sint Maarten (Dutch part),,,
Slovak Republic,68.9246167348919,15.629246504777,15.4461367603311
Slovenia,65.3713452980191,19.6068796541788,15.021775047802109
Solomon Islands,56.1594652427714,3.59895045928894,40.24158429793966
Somalia,50.5501049890906,2.87331094294556,46.57658406796384
South Africa,65.6025058468641,5.31800500542302,29.079489147712877
South Sudan,54.7813956853029,3.39848287985152,41.82012143484558
Spain,65.954491369965,19.3785075224995,14.667001107535498
Sri Lanka,65.3297792245361,10.4732197537841,24.197001021679796
St. Kitts and Nevis,,,
St. Lucia,71.6645866435024,9.80653035642617,18.52888300007143
St. Martin (French part),,,
St. Vincent and the Grenadines,67.8689060075673,9.58978686338024,22.541307129052456
Sudan,55.9100476051919,3.58116052825144,40.50879186655666
Suriname,65.9233667251168,6.90636990225525,27.170263372627957
Sweden,62.3226896122783,20.0955249278002,17.58178545992149
Switzerland,66.4658286661214,18.6232165647717,14.910954769106908
Syrian Arab Republic,64.0753347716682,4.50312442147583,31.421540806855973
Tajikistan,60.1938283684959,3.02188755207627,36.78428407942783
Tanzania,53.3004626710946,2.60129917835952,44.09823815054588
Thailand,71.0121180433042,11.9008931395893,17.0869888171065
Timor-Leste,57.9028434336982,4.31649229400603,37.780664272295766
Togo,55.7960084891888,2.86946801108822,41.33452349972298
Tonga,58.6305803463279,5.95366144364662,35.41575821002547
Trinidad and Tobago,68.8454739132406,10.7349535163324,20.419572570427007
Tunisia,67.5142005746377,8.31567907898877,24.170120346373537
Turkey,66.8673769209477,8.4832129399716,24.6494101390807
Turkmenistan,64.7510015978736,4.42663446194014,30.822363940186264
Turks and Caicos Islands,,,
Tuvalu,,,
Uganda,51.1284878975505,1.94098692046317,46.93052518198633
Ukraine,67.7529003875501,16.4346864392016,15.812413173248302
United Arab Emirates,84.3114896450084,1.08500098484481,14.603509370146796
United Kingdom,63.926052256896,18.3958656741466,17.678082068957394
United States,65.4833059619314,15.8076540556035,18.7090399824651
Uruguay,64.5774993948021,14.8145195308593,20.607981074338596
Uzbekistan,66.8948047070961,4.4191378781364,28.686057414767504
Vanuatu,57.5116167828345,3.64015306819735,38.84823014896815
"Venezuela, RB",65.0663627988088,7.26698662012597,27.666650581065227
Vietnam,69.5523448704195,7.2749782978793,23.172676831701196
Virgin Islands (U.S.),60.998280473825,19.2883072220099,19.713412304165104
West Bank and Gaza,57.9193329849872,3.13330573708009,38.94736127793271
"Yemen, Rep.",57.5088399699032,2.87626975604452,39.61489027405228
Zambia,52.9641808172429,2.09967802593266,44.93614115682444
Zimbabwe,54.659410108955,2.93952365300113,42.40106623804387
